,game_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,results
63410,4094801,2023,25. Matchday,2024-03-10,738,415,1,0,12.0,11.0,Luka Elsner,Carles Martínez,Stade Océane,21462.0,Romain Lissorgue,4-2-3-1,3-4-3,Le Havre Athletic Club,Toulouse Football Club,1:0,domestic_league,1
63411,4094802,2023,25. Matchday,2024-03-10,347,3524,1,0,17.0,18.0,László Bölöni,Pascal Gastien,Stade Saint-Symphorien,22673.0,Gaël Angoula,4-3-3 Attacking,4-2-3-1,Football Club de Metz,Clermont Foot 63,1:0,domestic_league,1
63412,4094803,2023,26. Matchday,2024-03-17,273,244,2,0,8.0,7.0,Julien Stéphan,Jean-Louis Gasset,Roazhon Park,28610.0,Eric Wattellier,4-3-3 Attacking,4-2-3-1,Stade Rennais Football Club,Olympique de Marseille,2:0,domestic_league,1
63413,4094804,2023,26. Matchday,2024-03-15,415,1041,2,3,11.0,10.0,Carles Martínez,Pierre Sage,Stadium Municipal,28436.0,Jérémy Stinat,3-4-3,4-3-3 Attacking,Toulouse Football Club,Olympique Lyonnais,2:3,domestic_league,-1
63414,4094805,2023,26. Matchday,2024-03-17,162,1158,2,2,3.0,15.0,Adi Hütter,Régis Le Bris,Stade Louis-II,5090.0,Bastien Dechepy,4-2-3-1,3-4-2-1,Association sportive de Monaco Football Club,Football Club Lorient-Bretagne Sud,2:2,domestic_league,0
63415,4094806,2023,26. Matchday,2024-03-17,3524,738,2,1,18.0,13.0,Pascal Gastien,Luka Elsner,Stade Gabriel-Montpied,9638.0,Marc Bollengier,4-2-3-1,4-2-3-1,Clermont Foot 63,Le Havre Athletic Club,2:1,domestic_league,1
63416,4094807,2023,26. Matchday,2024-03-17,1421,347,2,1,9.0,17.0,Will Still,László Bölöni,Stade Auguste-Delaune,14335.0,Hakim Ben El Hadj,4-4-1-1,4-5-1 flat,Stade Reims,Football Club de Metz,2:1,domestic_league,1
63417,4094808,2023,26. Matchday,2024-03-16,826,417,1,3,6.0,5.0,Franck Haise,Francesco Farioli,Stade Bollaert-Delelis,37346.0,Benoît Bastien,3-4-1-2,4-3-3 Attacking,Racing Club de Lens,Olympique Gymnaste Club Nice Côte d'Azur,1:3,domestic_league,-1
63418,4094809,2023,26. Matchday,2024-03-16,995,667,1,3,16.0,12.0,Jocelyn Gourvennec,Patrick Vieira,Stade de la Beaujoire,29487.0,Jérémie Pignard,4-2-3-1,3-4-3,Football Club de Nantes,Racing Club de Strasbourg Alsace,1:3,domestic_league,-1
63419,4094810,2023,26. Matchday,2024-03-17,969,583,2,6,14.0,1.0,Michel Der Zakarian,Luis Enrique,Stade de la Mosson,19202.0,Florent Batta,4-2-3-1,4-3-3 Attacking,Montpellier HSC,Paris Saint-Germain Football Club,2:6,domestic_league,-1
63420,4094811,2023,26. Matchday,2024-03-17,3911,1082,1,1,2.0,4.0,Éric Roy,Paulo Fonseca,Stade Francis-Le Blé,14774.0,Clément Turpin,4-2-3-1,4-3-3 Attacking,Stade brestois 29,Lille Olympique Sporting Club,1:1,domestic_league,0
63421,4094812,2023,27. Matchday,2024-03-31,667,273,2,0,12.0,8.0,Patrick Vieira,Julien Stéphan,Stade de la Meinau,25407.0,Hakim Ben El Hadj,3-4-3,4-3-3 Attacking,Racing Club de Strasbourg Alsace,Stade Rennais Football Club,2:0,domestic_league,1
63422,4094813,2023,27. Matchday,2024-03-31,244,583,0,2,7.0,1.0,Jean-Louis Gasset,Luis Enrique,Orange Vélodrome,66046.0,Benoît Bastien,4-3-3 Attacking,4-3-1-2,Olympique de Marseille,Paris Saint-Germain Football Club,0:2,domestic_league,-1
63423,4094814,2023,27. Matchday,2024-03-31,1158,3911,0,1,16.0,2.0,Régis Le Bris,Éric Roy,Stade du Moustoir,16745.0,Jérôme Brisard,3-4-2-1,4-2-3-1,Football Club Lorient-Bretagne Sud,Stade brestois 29,0:1,domestic_league,-1
63424,4094815,2023,27. Matchday,2024-03-29,1082,826,2,1,4.0,6.0,Paulo Fonseca,Franck Haise,Decathlon Arena-Stade Pierre-Mauroy,48233.0,Willy Delajod,4-3-3 Attacking,3-4-1-2,Lille Olympique Sporting Club,Racing Club de Lens,2:1,domestic_league,1
63425,4094816,2023,27. Matchday,2024-03-30,1041,1421,1,1,10.0,9.0,Pierre Sage,Will Still,Groupama Stadium,43097.0,Thomas Léonard,4-3-1-2,4-4-1-1,Olympique Lyonnais,Stade Reims,1:1,domestic_league,0
