game_id,date,home_club_id,away_club_id,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_name,away_club_name,competition_type
4635075,2025-10-18,1420,162,Alexandre Dujeux,Sébastien Pocognoli,Stade Raymond-Kopa,13404.0,Jérémy Stinat,Angers Sporting Club de l'Ouest,Association sportive de Monaco Football Club,domestic_league
4635076,2025-10-19,995,1082,Luís Castro,Bruno Génésio,Stade de la Beaujoire,29845.0,Thomas Léonard,Football Club de Nantes,Lille Olympique Sporting Club,domestic_league
4635077,2025-10-19,273,290,Habib Beye,Christophe Pélissier,Roazhon Park,27148.0,Eric Wattellier,Stade Rennais Football Club,Association de la Jeunesse auxerroise,domestic_league
4635078,2025-10-26,1041,667,Paulo Fonseca,Liam Rosenior,Groupama Stadium,49058.0,Eric Wattellier,Olympique Lyonnais,Racing Club de Strasbourg Alsace,domestic_league
4635079,2025-10-26,1420,1158,Alexandre Dujeux,Olivier Pantaloni,Stade Raymond-Kopa,11719.0,Benoît Bastien,Angers Sporting Club de l'Ouest,Football Club Lorient-Bretagne Sud,domestic_league
4635080,2025-10-25,162,415,Sébastien Pocognoli,Carles Martínez,Stade Louis-II,7086.0,Guillaume Paradis,Association sportive de Monaco Football Club,Toulouse Football Club,domestic_league
4635081,2025-10-26,273,417,Habib Beye,Franck Haise,Roazhon Park,27658.0,Marc Bollengier,Stade Rennais Football Club,Olympique Gymnaste Club Nice Côte d'Azur,domestic_league
4635082,2025-10-26,290,738,Christophe Pélissier,Didier Digard,Stade de l'Abbé-Deschamps,16729.0,Hakim Ben El Hadj,Association de la Jeunesse auxerroise,Le Havre Athletic Club,domestic_league
4635083,2025-10-26,1082,347,Bruno Génésio,Stéphane Le Mignan,Decathlon Arena-Stade Pierre-Mauroy,42089.0,Benoît Millot,Lille Olympique Sporting Club,Football Club de Metz,domestic_league
4635084,2025-10-24,10004,995,Stéphane Gilli,Luís Castro,Stade Jean Bouin,17522.0,Ruddy Buquet,Paris Football Club,Football Club de Nantes,domestic_league
4635085,2025-10-25,826,244,Pierre Sage,Roberto De Zerbi,Stade Bollaert-Delelis,38223.0,Stéphanie Frappart,Racing Club de Lens,Olympique de Marseille,domestic_league
4635086,2025-10-25,3911,583,Éric Roy,Luis Enrique,Stade Francis-Le Blé,14978.0,Jérémie Pignard,Stade brestois 29,Paris Saint-Germain Football Club,domestic_league
4635087,2025-10-29,244,1420,Roberto De Zerbi,Alexandre Dujeux,Orange Vélodrome,64599.0,Thomas Léonard,Olympique de Marseille,Angers Sporting Club de l'Ouest,domestic_league
4635088,2025-10-29,1158,583,Olivier Pantaloni,Luis Enrique,Stade du Moustoir,16706.0,Willy Delajod,Football Club Lorient-Bretagne Sud,Paris Saint-Germain Football Club,domestic_league
4635089,2025-10-29,995,162,Luís Castro,Sébastien Pocognoli,Stade de la Beaujoire,33653.0,Jérôme Brisard,Football Club de Nantes,Association sportive de Monaco Football Club,domestic_league
4635090,2025-10-29,667,290,Liam Rosenior,Christophe Pélissier,Stade de la Meinau,22667.0,Ruddy Buquet,Racing Club de Strasbourg Alsace,Association de la Jeunesse auxerroise,domestic_league
4635091,2025-10-29,10004,1041,Stéphane Gilli,Paulo Fonseca,Stade Jean Bouin,18445.0,Jérémy Stinat,Paris Football Club,Olympique Lyonnais,domestic_league
4635092,2025-10-29,738,3911,Didier Digard,Éric Roy,Stade Océane,18484.0,Benoît Millot,Le Havre Athletic Club,Stade brestois 29,domestic_league
4635093,2025-10-29,415,273,Carles Martínez,Habib Beye,Stadium Municipal,25514.0,Clément Turpin,Toulouse Football Club,Stade Rennais Football Club,domestic_league
